1. id: prod-apple-macbook-air-m2 | cat: laptops | brand: Apple | name: Apple MacBook Air M2 | img: assets/products/macbook_front.jpg
14. id: prod-dell-inspiron-15-3520 | cat: laptops | brand: Dell | name: Dell Inspiron 15 3520 | img: https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?auto=format&fit=crop&w=800&q=80
15. id: prod-dell-g15-5530 | cat: laptops | brand: Dell | name: Dell G15 5530 Gaming Laptop | img: https://images.unsplash.com/photo-1603302576837-37561b2e2302?auto=format&fit=crop&w=800&q=80
16. id: prod-hp-spectre-x360-14 | cat: laptops | brand: HP | name: HP Spectre x360 14 2-in-1 | img: https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?auto=format&fit=crop&w=800&q=80
17. id: prod-hp-envy-16-oled | cat: laptops | brand: HP | name: HP Envy 16 OLED | img: https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?auto=format&fit=crop&w=800&q=80
18. id: prod-hp-pavilion-15 | cat: laptops | brand: HP | name: HP Pavilion 15 (13th Gen) | img: https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?auto=format&fit=crop&w=800&q=80
19. id: prod-hp-omen-transcend-16 | cat: laptops | brand: HP | name: HP Omen Transcend 16 | img: https://images.unsplash.com/photo-1603302576837-37561b2e2302?auto=format&fit=crop&w=800&q=80
20. id: prod-hp-victus-16 | cat: laptops | brand: HP | name: HP Victus 16 Gaming Laptop | img: https://images.unsplash.com/photo-1603302576837-37561b2e2302?auto=format&fit=crop&w=800&q=80
21. id: prod-lenovo-thinkpad-x1-carbon-gen-12 | cat: laptops | brand: Lenovo | name: Lenovo ThinkPad X1 Carbon Gen 12 | img: https://images.unsplash.com/photo-1541807084-5c52b6b3adef?auto=format&fit=crop&w=800&q=80
22. id: prod-lenovo-legion-pro-7i-gen-9 | cat: laptops | brand: Lenovo | name: Lenovo Legion Pro 7i Gen 9 | img: https://images.unsplash.com/photo-1603302576837-37561b2e2302?auto=format&fit=crop&w=800&q=80
23. id: prod-lenovo-yoga-9i-dual-screen | cat: laptops | brand: Lenovo | name: Lenovo Yoga Book 9i Dual Screen | img: https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?auto=format&fit=crop&w=800&q=80
24. id: prod-lenovo-ideapad-slim-5 | cat: laptops | brand: Lenovo | name: Lenovo IdeaPad Slim 5 (14") | img: https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?auto=format&fit=crop&w=800&q=80
25. id: prod-lenovo-thinkpad-e14-gen-5 | cat: laptops | brand: Lenovo | name: Lenovo ThinkPad E14 Gen 5 | img: https://images.unsplash.com/photo-1541807084-5c52b6b3adef?auto=format&fit=crop&w=800&q=80
26. id: prod-asus-rog-zephyrus-g16 | cat: laptops | brand: ASUS | name: ASUS ROG Zephyrus G16 (2024) | img: https://images.unsplash.com/photo-1603302576837-37561b2e2302?auto=format&fit=crop&w=800&q=80
27. id: prod-asus-zenbook-14-oled | cat: laptops | brand: ASUS | name: ASUS Zenbook 14 OLED | img: https://images.unsplash.com/photo-1541807084-5c52b6b3adef?auto=format&fit=crop&w=800&q=80
28. id: prod-asus-tuf-gaming-f15 | cat: laptops | brand: ASUS | name: ASUS TUF Gaming F15 | img: https://images.unsplash.com/photo-1603302576837-37561b2e2302?auto=format&fit=crop&w=800&q=80
29. id: prod-acer-predator-helios-16 | cat: laptops | brand: Acer | name: Acer Predator Helios 16 | img: https://images.unsplash.com/photo-1603302576837-37561b2e2302?auto=format&fit=crop&w=800&q=80
30. id: prod-acer-swift-go-14 | cat: laptops | brand: Acer | name: Acer Swift Go 14 OLED | img: https://images.unsplash.com/photo-1541807084-5c52b6b3adef?auto=format&fit=crop&w=800&q=80
31. id: prod-microsoft-surface-laptop-7 | cat: laptops | brand: Microsoft | name: Microsoft Surface Laptop 7 Copilot+ PC | img: https://images.unsplash.com/photo-1541807084-5c52b6b3adef?auto=format&fit=crop&w=800&q=80
32. id: prod-apple-iphone-15-plus | cat: smartphones | brand: Apple | name: Apple iPhone 15 Plus | img: https://images.unsplash.com/photo-1592750475338-74b7b21085ab?auto=format&fit=crop&w=800&q=80
33. id: prod-apple-iphone-15-pro | cat: smartphones | brand: Apple | name: Apple iPhone 15 Pro | img: https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5?auto=format&fit=crop&w=800&q=80
34. id: prod-apple-iphone-15-pro-max | cat: smartphones | brand: Apple | name: Apple iPhone 15 Pro Max | img: https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5?auto=format&fit=crop&w=800&q=80
35. id: prod-apple-iphone-16 | cat: smartphones | brand: Apple | name: Apple iPhone 16 | img: https://images.unsplash.com/photo-1592750475338-74b7b21085ab?auto=format&fit=crop&w=800&q=80
36. id: prod-apple-iphone-16-plus | cat: smartphones | brand: Apple | name: Apple iPhone 16 Plus | img: https://images.unsplash.com/photo-1592750475338-74b7b21085ab?auto=format&fit=crop&w=800&q=80
37. id: prod-apple-iphone-16-pro | cat: smartphones | brand: Apple | name: Apple iPhone 16 Pro | img: https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5?auto=format&fit=crop&w=800&q=80
38. id: prod-apple-iphone-16-pro-max | cat: smartphones | brand: Apple | name: Apple iPhone 16 Pro Max | img: https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5?auto=format&fit=crop&w=800&q=80
39. id: prod-apple-iphone-14 | cat: smartphones | brand: Apple | name: Apple iPhone 14 | img: https://images.unsplash.com/photo-1592750475338-74b7b21085ab?auto=format&fit=crop&w=800&q=80
40. id: prod-apple-iphone-13 | cat: smartphones | brand: Apple | name: Apple iPhone 13 | img: https://images.unsplash.com/photo-1592750475338-74b7b21085ab?auto=format&fit=crop&w=800&q=80
41. id: prod-samsung-galaxy-s25-ultra | cat: smartphones | brand: Samsung | name: Samsung Galaxy S25 Ultra 5G | img: https://images.unsplash.com/photo-1610945265064-0e34e5519bbf?auto=format&fit=crop&w=800&q=80
42. id: prod-samsung-galaxy-s25-plus | cat: smartphones | brand: Samsung | name: Samsung Galaxy S25+ 5G | img: https://images.unsplash.com/photo-1610945265064-0e34e5519bbf?auto=format&fit=crop&w=800&q=80
43. id: prod-samsung-galaxy-s25 | cat: smartphones | brand: Samsung | name: Samsung Galaxy S25 5G | img: https://images.unsplash.com/photo-1610945265064-0e34e5519bbf?auto=format&fit=crop&w=800&q=80
44. id: prod-samsung-galaxy-s24-ultra | cat: smartphones | brand: Samsung | name: Samsung Galaxy S24 Ultra 5G | img: https://images.unsplash.com/photo-1610945265064-0e34e5519bbf?auto=format&fit=crop&w=800&q=80
45. id: prod-samsung-galaxy-s24-plus | cat: smartphones | brand: Samsung | name: Samsung Galaxy S24+ 5G | img: https://images.unsplash.com/photo-1610945265064-0e34e5519bbf?auto=format&fit=crop&w=800&q=80
46. id: prod-samsung-galaxy-s24 | cat: smartphones | brand: Samsung | name: Samsung Galaxy S24 5G | img: assets/products/s24_front.jpg
47. id: prod-samsung-galaxy-z-fold6 | cat: smartphones | brand: Samsung | name: Samsung Galaxy Z Fold6 5G | img: https://images.unsplash.com/photo-1592750475338-74b7b21085ab?auto=format&fit=crop&w=800&q=80
48. id: prod-samsung-galaxy-z-flip6 | cat: smartphones | brand: Samsung | name: Samsung Galaxy Z Flip6 5G | img: https://images.unsplash.com/photo-1592750475338-74b7b21085ab?auto=format&fit=crop&w=800&q=80
49. id: prod-samsung-galaxy-a55-5g | cat: smartphones | brand: Samsung | name: Samsung Galaxy A55 5G | img: https://images.unsplash.com/photo-1592750475338-74b7b21085ab?auto=format&fit=crop&w=800&q=80
50. id: prod-samsung-galaxy-a35-5g | cat: smartphones | brand: Samsung | name: Samsung Galaxy A35 5G | img: https://images.unsplash.com/photo-1592750475338-74b7b21085ab?auto=format&fit=crop&w=800&q=80
51. id: prod-samsung-galaxy-m34-5g | cat: smartphones | brand: Samsung | name: Samsung Galaxy M34 5G | img: https://images.unsplash.com/photo-1592750475338-74b7b21085ab?auto=format&fit=crop&w=800&q=80
52. id: prod-google-pixel-9-pro-xl | cat: smartphones | brand: Google | name: Google Pixel 9 Pro XL 5G | img: https://images.unsplash.com/photo-1598327105666-5b89351aff97?auto=format&fit=crop&w=800&q=80
53. id: prod-google-pixel-9-pro | cat: smartphones | brand: Google | name: Google Pixel 9 Pro 5G | img: https://images.unsplash.com/photo-1598327105666-5b89351aff97?auto=format&fit=crop&w=800&q=80
54. id: prod-google-pixel-9 | cat: smartphones | brand: Google | name: Google Pixel 9 5G | img: https://images.unsplash.com/photo-1598327105666-5b89351aff97?auto=format&fit=crop&w=800&q=80
55. id: prod-google-pixel-8a | cat: smartphones | brand: Google | name: Google Pixel 8a 5G | img: https://images.unsplash.com/photo-1598327105666-5b89351aff97?auto=format&fit=crop&w=800&q=80
56. id: prod-oneplus-12-5g | cat: smartphones | brand: OnePlus | name: OnePlus 12 5G | img: https://images.unsplash.com/photo-1580910051074-3eb694886505?auto=format&fit=crop&w=800&q=80
57. id: prod-oneplus-12r | cat: smartphones | brand: OnePlus | name: OnePlus 12R 5G | img: https://images.unsplash.com/photo-1580910051074-3eb694886505?auto=format&fit=crop&w=800&q=80
58. id: prod-oneplus-open | cat: smartphones | brand: OnePlus | name: OnePlus Open Foldable 5G | img: https://images.unsplash.com/photo-1592750475338-74b7b21085ab?auto=format&fit=crop&w=800&q=80
59. id: prod-oneplus-nord-4 | cat: smartphones | brand: OnePlus | name: OnePlus Nord 4 5G | img: https://images.unsplash.com/photo-1580910051074-3eb694886505?auto=format&fit=crop&w=800&q=80
60. id: prod-xiaomi-14-ultra | cat: smartphones | brand: Xiaomi | name: Xiaomi 14 Ultra 5G | img: https://images.unsplash.com/photo-1565849904461-04a58ad377e0?auto=format&fit=crop&w=800&q=80
61. id: prod-xiaomi-14 | cat: smartphones | brand: Xiaomi | name: Xiaomi 14 5G | img: https://images.unsplash.com/photo-1565849904461-04a58ad377e0?auto=format&fit=crop&w=800&q=80
62. id: prod-redmi-note-13-pro-plus | cat: smartphones | brand: Xiaomi | name: Redmi Note 13 Pro+ 5G | img: https://images.unsplash.com/photo-1565849904461-04a58ad377e0?auto=format&fit=crop&w=800&q=80
63. id: prod-motorola-edge-50-ultra | cat: smartphones | brand: Motorola | name: Motorola Edge 50 Ultra | img: https://images.unsplash.com/photo-1580910051074-3eb694886505?auto=format&fit=crop&w=800&q=80
64. id: prod-motorola-razr-50-ultra | cat: smartphones | brand: Motorola | name: Motorola Razr 50 Ultra | img: https://images.unsplash.com/photo-1592750475338-74b7b21085ab?auto=format&fit=crop&w=800&q=80
65. id: prod-nothing-phone-2 | cat: smartphones | brand: Nothing | name: Nothing Phone (2) 5G | img: https://images.unsplash.com/photo-1598327105666-5b89351aff97?auto=format&fit=crop&w=800&q=80
66. id: prod-sony-wh-1000xm4 | cat: audio | brand: Sony | name: Sony WH-1000XM4 | img: https://images.unsplash.com/photo-1505740420928-5e560c06d30e?auto=format&fit=crop&w=800&q=80
67. id: prod-sony-wf-1000xm5 | cat: audio | brand: Sony | name: Sony WF-1000XM5 Wireless Earbuds | img: https://images.unsplash.com/photo-1590658268037-6bf12165a8df?auto=format&fit=crop&w=800&q=80
68. id: prod-sony-wf-1000xm4 | cat: audio | brand: Sony | name: Sony WF-1000XM4 Wireless Earbuds | img: https://images.unsplash.com/photo-1590658268037-6bf12165a8df?auto=format&fit=crop&w=800&q=80
69. id: prod-sony-linkbuds-s | cat: audio | brand: Sony | name: Sony LinkBuds S Noise-Canceling Earbuds | img: https://images.unsplash.com/photo-1590658268037-6bf12165a8df?auto=format&fit=crop&w=800&q=80
70. id: prod-sony-wh-ch720n | cat: audio | brand: Sony | name: Sony WH-CH720N Wireless ANC Headphones | img: https://images.unsplash.com/photo-1505740420928-5e560c06d30e?auto=format&fit=crop&w=800&q=80
71. id: prod-apple-airpods-pro-2 | cat: audio | brand: Apple | name: Apple AirPods Pro (2nd Gen, USB-C) | img: assets/products/airpods_front.jpg
72. id: prod-apple-airpods-max | cat: audio | brand: Apple | name: Apple AirPods Max | img: https://images.unsplash.com/photo-1546435770-a3e426bf472b?auto=format&fit=crop&w=800&q=80
73. id: prod-apple-airpods-3 | cat: audio | brand: Apple | name: Apple AirPods (3rd Generation) | img: https://images.unsplash.com/photo-1600294037681-c80b4cb5b434?auto=format&fit=crop&w=800&q=80
74. id: prod-apple-airpods-4-anc | cat: audio | brand: Apple | name: Apple AirPods 4 with Active Noise Cancellation | img: https://images.unsplash.com/photo-1600294037681-c80b4cb5b434?auto=format&fit=crop&w=800&q=80
75. id: prod-bose-quietcomfort-ultra-headphones | cat: audio | brand: Bose | name: Bose QuietComfort Ultra Wireless Headphones | img: https://images.unsplash.com/photo-1546435770-a3e426bf472b?auto=format&fit=crop&w=800&q=80
76. id: prod-bose-quietcomfort-headphones | cat: audio | brand: Bose | name: Bose QuietComfort Wireless Headphones | img: https://images.unsplash.com/photo-1546435770-a3e426bf472b?auto=format&fit=crop&w=800&q=80
77. id: prod-bose-quietcomfort-ultra-earbuds | cat: audio | brand: Bose | name: Bose QuietComfort Ultra Earbuds | img: https://images.unsplash.com/photo-1590658268037-6bf12165a8df?auto=format&fit=crop&w=800&q=80
78. id: prod-bose-soundlink-max | cat: audio | brand: Bose | name: Bose SoundLink Max Portable Bluetooth Speaker | img: https://images.unsplash.com/photo-1545454675-3531b543be5d?auto=format&fit=crop&w=800&q=80
79. id: prod-bose-soundlink-flex-2 | cat: audio | brand: Bose | name: Bose SoundLink Flex Portable Speaker (Gen 2) | img: https://images.unsplash.com/photo-1545454675-3531b543be5d?auto=format&fit=crop&w=800&q=80
80. id: prod-jbl-tour-one-m2 | cat: audio | brand: JBL | name: JBL Tour One M2 Wireless Over-Ear | img: https://images.unsplash.com/photo-1505740420928-5e560c06d30e?auto=format&fit=crop&w=800&q=80
81. id: prod-jbl-live-670nc | cat: audio | brand: JBL | name: JBL Live 670NC On-Ear Wireless ANC | img: https://images.unsplash.com/photo-1505740420928-5e560c06d30e?auto=format&fit=crop&w=800&q=80
82. id: prod-jbl-tune-770nc | cat: audio | brand: JBL | name: JBL Tune 770NC Wireless Headphones | img: https://images.unsplash.com/photo-1505740420928-5e560c06d30e?auto=format&fit=crop&w=800&q=80
83. id: prod-jbl-flip-6 | cat: audio | brand: JBL | name: JBL Flip 6 Waterproof Portable Speaker | img: https://images.unsplash.com/photo-1545454675-3531b543be5d?auto=format&fit=crop&w=800&q=80
84. id: prod-jbl-charge-5 | cat: audio | brand: JBL | name: JBL Charge 5 Bluetooth Speaker with Powerbank | img: https://images.unsplash.com/photo-1545454675-3531b543be5d?auto=format&fit=crop&w=800&q=80
85. id: prod-jbl-xtreme-4 | cat: audio | brand: JBL | name: JBL Xtreme 4 Portable Bluetooth Speaker | img: https://images.unsplash.com/photo-1545454675-3531b543be5d?auto=format&fit=crop&w=800&q=80
86. id: prod-sennheiser-momentum-4 | cat: audio | brand: Sennheiser | name: Sennheiser Momentum 4 Wireless | img: https://images.unsplash.com/photo-1505740420928-5e560c06d30e?auto=format&fit=crop&w=800&q=80
87. id: prod-sennheiser-momentum-tw-4 | cat: audio | brand: Sennheiser | name: Sennheiser Momentum True Wireless 4 | img: https://images.unsplash.com/photo-1590658268037-6bf12165a8df?auto=format&fit=crop&w=800&q=80
88. id: prod-samsung-galaxy-buds3-pro | cat: audio | brand: Samsung | name: Samsung Galaxy Buds3 Pro | img: https://images.unsplash.com/photo-1590658268037-6bf12165a8df?auto=format&fit=crop&w=800&q=80
89. id: prod-samsung-galaxy-buds-fe | cat: audio | brand: Samsung | name: Samsung Galaxy Buds FE | img: https://images.unsplash.com/photo-1590658268037-6bf12165a8df?auto=format&fit=crop&w=800&q=80
90. id: prod-marshall-stanmore-iii | cat: audio | brand: Marshall | name: Marshall Stanmore III Bluetooth Speaker | img: https://images.unsplash.com/photo-1545454675-3531b543be5d?auto=format&fit=crop&w=800&q=80
91. id: prod-marshall-emberton-ii | cat: audio | brand: Marshall | name: Marshall Emberton II Portable Speaker | img: https://images.unsplash.com/photo-1545454675-3531b543be5d?auto=format&fit=crop&w=800&q=80
92. id: prod-sony-ht-a7000 | cat: audio | brand: Sony | name: Sony HT-A7000 7.1.2ch Dolby Atmos Soundbar | img: https://images.unsplash.com/photo-1545454675-3531b543be5d?auto=format&fit=crop&w=800&q=80
93. id: prod-bose-smart-ultra-soundbar | cat: audio | brand: Bose | name: Bose Smart Ultra Soundbar with Dolby Atmos | img: https://images.unsplash.com/photo-1545454675-3531b543be5d?auto=format&fit=crop&w=800&q=80
94. id: prod-jbl-bar-500-pro | cat: audio | brand: JBL | name: JBL Bar 500 Pro 5.1ch Dolby Atmos Soundbar | img: https://images.unsplash.com/photo-1545454675-3531b543be5d?auto=format&fit=crop&w=800&q=80
95. id: prod-nike-air-force-1-07 | cat: footwear | brand: Nike | name: Nike Air Force 1 '07 | img: assets/products/af1_side.jpg
96. id: prod-nike-air-max-90 | cat: footwear | brand: Nike | name: Nike Air Max 90 | img: https://images.unsplash.com/photo-1552346154-21d32810aba3?auto=format&fit=crop&w=800&q=80
97. id: prod-nike-air-max-1 | cat: footwear | brand: Nike | name: Nike Air Max 1 '87 | img: https://images.unsplash.com/photo-1552346154-21d32810aba3?auto=format&fit=crop&w=800&q=80
98. id: prod-nike-air-max-dn | cat: footwear | brand: Nike | name: Nike Air Max Dn | img: https://images.unsplash.com/photo-1542291026-7eec264c27ff?auto=format&fit=crop&w=800&q=80
99. id: prod-nike-pegasus-41 | cat: footwear | brand: Nike | name: Nike Pegasus 41 Road Running Shoes | img: https://images.unsplash.com/photo-1608231387042-66d1773070a5?auto=format&fit=crop&w=800&q=80
100. id: prod-nike-pegasus-40 | cat: footwear | brand: Nike | name: Nike Pegasus 40 Road Running Shoes | img: https://images.unsplash.com/photo-1608231387042-66d1773070a5?auto=format&fit=crop&w=800&q=80
101. id: prod-nike-revolution-7 | cat: footwear | brand: Nike | name: Nike Revolution 7 Road Running | img: https://images.unsplash.com/photo-1608231387042-66d1773070a5?auto=format&fit=crop&w=800&q=80
102. id: prod-nike-dunk-low-retro | cat: footwear | brand: Nike | name: Nike Dunk Low Retro | img: https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?auto=format&fit=crop&w=800&q=80
103. id: prod-nike-court-vision-low | cat: footwear | brand: Nike | name: Nike Court Vision Low Next Nature | img: https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?auto=format&fit=crop&w=800&q=80
104. id: prod-nike-invincible-3 | cat: footwear | brand: Nike | name: Nike Invincible 3 Road Running | img: https://images.unsplash.com/photo-1608231387042-66d1773070a5?auto=format&fit=crop&w=800&q=80
105. id: prod-nike-metcon-9 | cat: footwear | brand: Nike | name: Nike Metcon 9 Training Shoes | img: https://images.unsplash.com/photo-1542291026-7eec264c27ff?auto=format&fit=crop&w=800&q=80
106. id: prod-nike-vaporfly-3 | cat: footwear | brand: Nike | name: Nike Vaporfly 3 Road Racing Shoes | img: https://images.unsplash.com/photo-1608231387042-66d1773070a5?auto=format&fit=crop&w=800&q=80
107. id: prod-nike-blazer-mid-77 | cat: footwear | brand: Nike | name: Nike Blazer Mid '77 Vintage | img: https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?auto=format&fit=crop&w=800&q=80
108. id: prod-adidas-ultraboost-5 | cat: footwear | brand: Adidas | name: Adidas Ultraboost 5 Running Shoes | img: https://images.unsplash.com/photo-1584735935682-2f2b69dff9d2?auto=format&fit=crop&w=800&q=80
109. id: prod-adidas-ultraboost-light | cat: footwear | brand: Adidas | name: Adidas Ultraboost Light Running | img: https://images.unsplash.com/photo-1584735935682-2f2b69dff9d2?auto=format&fit=crop&w=800&q=80
110. id: prod-adidas-duramo-sl | cat: footwear | brand: Adidas | name: Adidas Duramo SL Running Shoes | img: https://images.unsplash.com/photo-1584735935682-2f2b69dff9d2?auto=format&fit=crop&w=800&q=80
111. id: prod-adidas-superstar | cat: footwear | brand: Adidas | name: Adidas Originals Superstar Shoes | img: https://images.unsplash.com/photo-1518002171953-a080ee817e1f?auto=format&fit=crop&w=800&q=80
112. id: prod-adidas-stan-smith | cat: footwear | brand: Adidas | name: Adidas Originals Stan Smith | img: https://images.unsplash.com/photo-1518002171953-a080ee817e1f?auto=format&fit=crop&w=800&q=80
113. id: prod-adidas-samba-og | cat: footwear | brand: Adidas | name: Adidas Originals Samba OG | img: https://images.unsplash.com/photo-1518002171953-a080ee817e1f?auto=format&fit=crop&w=800&q=80
114. id: prod-adidas-gazelle | cat: footwear | brand: Adidas | name: Adidas Originals Gazelle | img: https://images.unsplash.com/photo-1518002171953-a080ee817e1f?auto=format&fit=crop&w=800&q=80
115. id: prod-adidas-forum-low | cat: footwear | brand: Adidas | name: Adidas Originals Forum Low | img: https://images.unsplash.com/photo-1518002171953-a080ee817e1f?auto=format&fit=crop&w=800&q=80
116. id: prod-adidas-adizero-adios-pro-3 | cat: footwear | brand: Adidas | name: Adidas Adizero Adios Pro 3 Racing | img: https://images.unsplash.com/photo-1584735935682-2f2b69dff9d2?auto=format&fit=crop&w=800&q=80
117. id: prod-adidas-terrex-free-hiker-2 | cat: footwear | brand: Adidas | name: Adidas Terrex Free Hiker 2 Gore-Tex | img: https://images.unsplash.com/photo-1584735935682-2f2b69dff9d2?auto=format&fit=crop&w=800&q=80
118. id: prod-puma-suede-classic-xxi | cat: footwear | brand: Puma | name: Puma Suede Classic XXI | img: https://images.unsplash.com/photo-1551107696-a4b0c5a0d9a2?auto=format&fit=crop&w=800&q=80
119. id: prod-puma-velocity-nitro-3 | cat: footwear | brand: Puma | name: Puma Velocity NITRO 3 Running | img: https://images.unsplash.com/photo-1551107696-a4b0c5a0d9a2?auto=format&fit=crop&w=800&q=80
120. id: prod-puma-rs-x-efekt | cat: footwear | brand: Puma | name: Puma RS-X Efekt Reflective | img: https://images.unsplash.com/photo-1551107696-a4b0c5a0d9a2?auto=format&fit=crop&w=800&q=80
121. id: prod-puma-palermo-leather | cat: footwear | brand: Puma | name: Puma Palermo Leather Sneakers | img: https://images.unsplash.com/photo-1551107696-a4b0c5a0d9a2?auto=format&fit=crop&w=800&q=80
122. id: prod-asics-gel-kayano-30 | cat: footwear | brand: ASICS | name: ASICS GEL-Kayano 30 Stability Running | img: https://images.unsplash.com/photo-1608231387042-66d1773070a5?auto=format&fit=crop&w=800&q=80
123. id: prod-asics-gel-nimbus-26 | cat: footwear | brand: ASICS | name: ASICS GEL-Nimbus 26 Max Cushion | img: https://images.unsplash.com/photo-1608231387042-66d1773070a5?auto=format&fit=crop&w=800&q=80
124. id: prod-apple-watch-ultra-2 | cat: watches | brand: Apple | name: Apple Watch Ultra 2 (GPS + Cellular) | img: https://images.unsplash.com/photo-1508685096489-7aacd43bd3b1?auto=format&fit=crop&w=800&q=80
125. id: prod-apple-watch-se-2 | cat: watches | brand: Apple | name: Apple Watch SE (2nd Gen) | img: https://images.unsplash.com/photo-1508685096489-7aacd43bd3b1?auto=format&fit=crop&w=800&q=80
126. id: prod-samsung-galaxy-watch-ultra | cat: watches | brand: Samsung | name: Samsung Galaxy Watch Ultra (LTE) | img: https://images.unsplash.com/photo-1523275335684-37898b6baf30?auto=format&fit=crop&w=800&q=80
127. id: prod-samsung-galaxy-watch-7 | cat: watches | brand: Samsung | name: Samsung Galaxy Watch 7 (Bluetooth) | img: https://images.unsplash.com/photo-1523275335684-37898b6baf30?auto=format&fit=crop&w=800&q=80
128. id: prod-samsung-galaxy-watch-6-classic | cat: watches | brand: Samsung | name: Samsung Galaxy Watch 6 Classic | img: https://images.unsplash.com/photo-1523275335684-37898b6baf30?auto=format&fit=crop&w=800&q=80
129. id: prod-casio-g-shock-casiOak | cat: accessories | brand: Casio | name: Casio G-Shock GA-2100-1A1 'CasiOak' | img: https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9?auto=format&fit=crop&w=800&q=80
130. id: prod-casio-g-shock-dw5600 | cat: accessories | brand: Casio | name: Casio G-Shock DW-5600E-1V Classic | img: https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9?auto=format&fit=crop&w=800&q=80
131. id: prod-casio-vintage-a168wa | cat: accessories | brand: Casio | name: Casio Vintage A168WA-1YES Digital | img: https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9?auto=format&fit=crop&w=800&q=80
132. id: prod-casio-edifice-solar | cat: accessories | brand: Casio | name: Casio Edifice Solar Chronograph | img: https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9?auto=format&fit=crop&w=800&q=80
133. id: prod-fossil-gen-6-smartwatch | cat: watches | brand: Fossil | name: Fossil Gen 6 Smartwatch 44mm | img: https://images.unsplash.com/photo-1523275335684-37898b6baf30?auto=format&fit=crop&w=800&q=80
134. id: prod-fossil-grant-chronograph | cat: watches | brand: Fossil | name: Fossil Grant Chronograph Leather Watch | img: https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9?auto=format&fit=crop&w=800&q=80
135. id: prod-fossil-machine-black | cat: watches | brand: Fossil | name: Fossil Machine Stainless Steel Watch | img: https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9?auto=format&fit=crop&w=800&q=80
136. id: prod-fossil-derrick-bifold | cat: accessories | brand: Fossil | name: Fossil Derrick RFID Leather Bifold Wallet | img: https://images.unsplash.com/photo-1627123424574-724758594e93?auto=format&fit=crop&w=800&q=80
137. id: prod-dell-pro-backpack-15 | cat: accessories | brand: Dell | name: Dell Pro Laptop Backpack 15 | img: https://images.unsplash.com/photo-1553062407-98eeb64c6a62?auto=format&fit=crop&w=800&q=80
